def add_numbers(a, b):   print(a + b);add_numbers(7, 4);11;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 3);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(10, 2);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 5);9;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 7);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 6);8;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 9);17;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 2);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 4);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 9);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(10, 2);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 3);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 5);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 5);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(1, 3);4;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(1, 7);8;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 8);11;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 2);4;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 7);14;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(1, 5);6;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 6);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 6);8;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 3);7;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(1, 7);8;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 1);3;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 9);17;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 1);3;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 8);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 7);16;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 7);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 3);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 5);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 8);17;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 6);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 2);7;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 8);17;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 1);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(1, 8);9;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 5);14;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 1);5;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 4);7;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 6);8;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(10, 10);20;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 4);7;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 6);9;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 8);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 1);9;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 6);11;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 2);5;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 6);15;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 10);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 10);18;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 8);11;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 4);11;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 10);14;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 1);4;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 9);14;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 9);11;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(10, 8);18;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 2);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 7);16;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 1);5;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 4);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 8);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(10, 10);20;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 2);6;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 9);17;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 10);18;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(10, 6);16;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 4);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 4);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 8);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 3);11;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 5);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 9);16;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(8, 9);17;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 7);14;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 9);15;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 10);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 1);7;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 8);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(9, 1);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(3, 4);7;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 9);15;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 8);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 7);13;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 2);7;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 10);16;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 5);12;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(7, 8);15;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(2, 7);9;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(4, 6);10;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(5, 10);15;Add two numbers;num;2
def add_numbers(a, b):   print(a + b);add_numbers(6, 8);14;Add two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 5);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 9);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 4);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 1);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 3);3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(7, 2);5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 6);-4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 5);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 6);3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(7, 9);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 10);-7;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 6);-5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(7, 3);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 4);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 7);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 2);6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 10);-6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 4);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 8);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 7);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 5);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 5);5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 6);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 8);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 5);3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 3);3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 6);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 3);6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(7, 8);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 6);-5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 3);6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(7, 3);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 9);-8;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 7);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 9);-6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 6);-5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 7);3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 6);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 8);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 7);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 5);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 6);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 8);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 3);3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(7, 7);0;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 7);2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(7, 1);6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 9);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 5);5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 6);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 5);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 3);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 8);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 6);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 3);5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 2);0;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 3);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 1);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 2);8;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 10);-6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 5);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 1);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 10);0;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 9);-7;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 3);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 5);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 10);-7;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 9);-7;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 8);-7;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 5);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 8);-4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 4);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 8);0;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 5);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(9, 9);0;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 8);-5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 2);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 2);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 4);6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 1);0;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 6);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(10, 10);0;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(2, 6);-4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 4);2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 5);-4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 6);-5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 10);-7;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(6, 1);5;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 4);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 10);-9;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 10);-9;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 4);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 3);2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(1, 2);-1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(4, 10);-6;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 10);-2;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(3, 6);-3;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(5, 4);1;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 4);4;Subtract two numbers;num;2
def subtract_numbers(a, b):    print(a - b);subtract_numbers(8, 5);3;Subtract two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(8, 10);80;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(9, 6);54;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(3, 7);21;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(10, 2);20;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(2, 8);16;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(7, 10);70;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(8, 10);80;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(5, 2);10;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(2, 3);6;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(7, 3);21;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(10, 4);40;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(10, 10);100;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(6, 5);30;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(8, 5);40;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(9, 9);81;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(2, 2);4;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(9, 8);72;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(6, 7);42;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(5, 2);10;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(1, 10);10;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(2, 9);18;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(3, 5);15;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(9, 7);63;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(4, 1);4;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(3, 6);18;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(8, 8);64;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(10, 6);60;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(1, 10);10;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(6, 2);12;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(1, 5);5;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(8, 9);72;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(4, 7);28;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(2, 6);12;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(10, 4);40;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(2, 1);2;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(10, 1);10;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(3, 9);27;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(1, 9);9;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(6, 5);30;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(7, 1);7;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(6, 2);12;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(9, 6);54;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(9, 1);9;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(5, 2);10;Multiply two numbers;num;2
def multiply_numbers(a, b):    print(a * b);multiply_numbers(7, 6);42;Multiply two numbers;num;2
